,Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
50,Rich Baby Daddy (feat. Sexyy Red & SZA),"Drake, Sexyy Red, SZA",For All The Dogs,4czdORdCWP9umpbhFXK2fW,1yeB8MUNeLo9Ek1UEpsyz6,81,2023-10-06,319192,True,https://open.spotify.com/track/1yeB8MUNeLo9Ek1UEpsyz6,0.636,0.729,2,-4.495,1,0.055,0.0458,0.0,0.384,0.141,146.009
51,Yeah Glo!,GloRilla,Ehhthang Ehhthang,0SW0LplxFID1otCk4bhhHI,5A8xI7PN4WDe9e61xEdt94,78,2024-04-05,142703,True,https://open.spotify.com/track/5A8xI7PN4WDe9e61xEdt94,0.894,0.66,11,-5.349,0,0.33,0.0243,0.0,0.139,0.181,148.072
52,Thunder,"Gabry Ponte, LUM!X, Prezioso",Thunder,35Q09Y0b7ZxOoCdF7sBiGf,2USlegnFJLrVLpoVfPimKB,78,2021-05-07,160000,False,https://open.spotify.com/track/2USlegnFJLrVLpoVfPimKB,0.67,0.896,1,-4.673,1,0.058,0.0342,3.21e-05,0.344,0.403,101.216
53,Call It Love,"Felix Jaehn, Ray Dalton",Call It Love,5c3YGhnf058Op4YviM73wn,5YdnOm5990Kfq1Jodws98B,78,2022-09-16,154561,False,https://open.spotify.com/track/5YdnOm5990Kfq1Jodws98B,0.616,0.841,5,-4.779,0,0.076,0.0559,0.00217,0.417,0.714,110.029
54,Words (feat. Zara Larsson),"Alesso, Zara Larsson",Words (feat. Zara Larsson),66W7mt0wKGLFALilLBLfU6,1bgKMxPQU7JIZEhNsM1vFs,77,2022-04-22,142677,False,https://open.spotify.com/track/1bgKMxPQU7JIZEhNsM1vFs,0.739,0.586,10,-5.079,0,0.0472,0.0245,0.000252,0.308,0.444,124.026
55,First Person Shooter (feat. J. Cole),"Drake, J. Cole",For All The Dogs,4czdORdCWP9umpbhFXK2fW,7aqfrAY2p9BUSiupwk3svU,77,2023-10-06,247444,True,https://open.spotify.com/track/7aqfrAY2p9BUSiupwk3svU,0.475,0.655,11,-7.342,0,0.33,0.0306,0.0,0.375,0.245,163.997
56,Tell Ur Girlfriend,Lay Bankz,Tell Ur Girlfriend,0S8DGX9LmBkRSVi3ywcCOT,3lMzT16MjAKKXF7pSZn13B,76,2024-02-07,124444,True,https://open.spotify.com/track/3lMzT16MjAKKXF7pSZn13B,0.866,0.741,7,-4.66,1,0.245,0.0933,0.0,0.0297,0.614,135.07
57,Boyz In Paris (with VINAI),"Marnik, Naeleck, VINAI",Boyz In Paris (with VINAI),3FrWieInAhMTL33yALP6H0,17NHXI2CJp7KgdcwcDnRx4,76,2023-07-28,151589,True,https://open.spotify.com/track/17NHXI2CJp7KgdcwcDnRx4,0.628,0.967,1,-4.068,1,0.0485,0.0398,4.67e-05,0.274,0.399,149.036
58,Private Landing (feat. Justin Bieber & Future),"Don Toliver, Justin Bieber, Future",Love Sick,26z5llzd194mcCZHADWd6k,52NGJPcLUzQq5w7uv4e5gf,76,2023-02-24,238253,True,https://open.spotify.com/track/52NGJPcLUzQq5w7uv4e5gf,0.858,0.641,1,-4.31,0,0.0954,0.111,2.12e-05,0.109,0.445,136.991
59,"Baddadan (feat. IRAH, Flowdan, Trigga & Takura)","Chase & Status, Bou, Flowdan, IRAH, Trigga, Takura","Baddadan (feat. IRAH, Flowdan, Trigga & Takura)",2xV74PLdZg5gwA65xGF8cF,2ZWmmrWUgDBcPSLihBMvhg,76,2023-07-27,177292,False,https://open.spotify.com/track/2ZWmmrWUgDBcPSLihBMvhg,0.633,0.931,1,-0.424,1,0.228,0.214,0.00398,0.0585,0.566,87.537
60,El Merengue,"Marshmello, Manuel Turizo",El Merengue,6sU751LOdNBPvVErW1GunP,51FvjPEGKq2zByeeEQ43V9,76,2023-03-03,189669,False,https://open.spotify.com/track/51FvjPEGKq2zByeeEQ43V9,0.778,0.772,8,-3.079,0,0.0556,0.0929,0.000552,0.0883,0.661,123.982
61,Around The World,"Niklas Dee, René Miller",Around The World,6DJnx2cTEn3txXXK4Xo2Tf,47KhhDku9RLDsWIJjYaXDs,75,2024-08-02,140987,False,https://open.spotify.com/track/47KhhDku9RLDsWIJjYaXDs,0.605,0.855,10,-4.414,0,0.329,0.473,0.000709,0.098,0.302,75.031
62,Push Ups,Drake,Push Ups,06me0leRR3AuF4IFiEytml,3eh51r6rFWAlGQRlHx9QnQ,76,2024-04-19,232774,True,https://open.spotify.com/track/3eh51r6rFWAlGQRlHx9QnQ,0.598,0.696,2,-4.789,1,0.112,0.0153,0.0,0.219,0.209,91.057
63,Bulletproof,"La Roux, GAMPER & DADONI",Bulletproof,5TSSlGJmfkBNC4M3uoMswL,0SyxZC4wlqAwf20cHE6Xon,75,2021-05-21,162213,False,https://open.spotify.com/track/0SyxZC4wlqAwf20cHE6Xon,0.752,0.771,6,-5.95,1,0.0311,0.00341,1.73e-05,0.0905,0.527,126.02
64,Lay Low,Tiësto,Lay Low,0EYKSXXTsON8ZA95BuCoXn,0zKbDrEXKpnExhGQRe9dxt,75,2023-01-06,153443,False,https://open.spotify.com/track/0zKbDrEXKpnExhGQRe9dxt,0.555,0.884,1,-4.424,0,0.213,0.0645,8.18e-05,0.349,0.42,121.906
65,21 Reasons (feat. Ella Henderson),"Nathan Dawe, Ella Henderson",21 Reasons (feat. Ella Henderson),118PKNjhP4NWcrW5OjMwzc,1RF02Cf80mTaeNXG2P2boR,75,2022-04-29,155253,False,https://open.spotify.com/track/1RF02Cf80mTaeNXG2P2boR,0.621,0.785,6,-4.499,1,0.11,0.0165,5.92e-06,0.0512,0.779,123.96
66,Dernière danse - Techno Mix,"Indila, BENNETT",Dernière danse (Techno Mix),3MhGOga5TlR7JfKxDSxv9Q,5fIZ683j2xPeLAXfHeWKEG,75,2024-01-26,197143,False,https://open.spotify.com/track/5fIZ683j2xPeLAXfHeWKEG,0.589,0.734,0,-5.365,0,0.077,0.0289,0.000299,0.326,0.356,140.004
