,Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
10,Despacito,"Luis Fonsi, Daddy Yankee",VIDA,5C0YLr4OoRGFDaqdMQmkeH,6habFhsOp2NvshLv26DqMb,79,2019-02-01,229360,False,https://open.spotify.com/track/6habFhsOp2NvshLv26DqMb,0.655,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.839,177.928
11,Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, JID, Arcane, League of Legends",Enemy (with JID) - from the series Arcane League of Legends,1bTgKomQYSkKYPD9UI9W4b,1r9xUipOqoNwggBpENDsvJ,75,2021-10-28,173381,False,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ,0.728,0.783,11,-4.424,0,0.266,0.237,0.0,0.434,0.555,77.011
12,Gangsta's Paradise,"Coolio, L.V.",Gangsta's Paradise,0BJYNipGyMrw4ngKDJXzXZ,1DIXPcTDzTj8ZMHt3PDt8p,86,1995-11-07,240693,False,https://open.spotify.com/track/1DIXPcTDzTj8ZMHt3PDt8p,0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.398,0.386,79.975
13,Shape of You,Ed Sheeran,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,7qiZfU4dY1lWllzX7mPBI3,85,2017-03-03,233713,False,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977
14,The Box,Roddy Ricch,Please Excuse Me for Being Antisocial,52u4anZbHd6UInnmHRFzba,0nbXyq5TXYPCO7pr3N8S4I,83,2019-12-06,196653,True,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971
15,"Genius (feat. Sia, Diplo, and Labrinth)","Sia, Diplo, Labrinth, LSD","LABRINTH, SIA & DIPLO PRESENT... LSD",0ujHQ5WCLuKJQXOqXpGtpf,4xigPf2sigSPmuFH3qCelB,75,2019-04-12,213707,False,https://open.spotify.com/track/4xigPf2sigSPmuFH3qCelB,0.603,0.615,11,-4.931,0,0.165,0.0799,6.72e-05,0.117,0.561,158.657
16,Animals,Maroon 5,V - Asia Tour Edition,6LtzdMGhOCh9s6sssWrpuD,3h4T9Bg8OVSUYa6danHeH5,71,2015-05-18,231013,False,https://open.spotify.com/track/3h4T9Bg8OVSUYa6danHeH5,0.279,0.742,4,-6.46,0,0.0898,0.000185,0.0,0.593,0.328,189.868
17,Let Me Down Slowly,Alec Benjamin,Narrated For You,6jKZplJpy21R5lHaYHHjmZ,2qxmye6gAegTMjLKEBoR3d,82,2018-11-16,169354,False,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,0.652,0.557,1,-5.714,0,0.0318,0.74,0.0,0.124,0.483,150.073
18,No Lie,"Sean Paul, Dua Lipa",Mad Love The Prequel,5xrOcCoO3jkXRjHQjfESM6,48QmG1dfvMuYLxMPt7KSRA,81,2018-06-29,221176,False,https://open.spotify.com/track/48QmG1dfvMuYLxMPt7KSRA,0.742,0.882,7,-2.862,1,0.117,0.0466,0.0,0.206,0.463,102.04
19,Harleys In Hawaii,Katy Perry,Harleys In Hawaii,30UjBkRwwBeCdspCGPBB8V,5nCthAh3jt4xKuLJAifAaR,68,2019-10-16,185815,False,https://open.spotify.com/track/5nCthAh3jt4xKuLJAifAaR,0.722,0.756,10,-6.207,0,0.132,0.183,6.78e-06,0.126,0.725,140.092
20,INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),622NFw5Yk0OReMJ2XWcXUh,27NovPIUIRrOZoCHxABJwK,75,2021-07-23,212000,True,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK,0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995
21,Believer,Imagine Dragons,Evolve,33pt9HBdGlAbRGBHQgsZsU,0pqnGHJpmpxLKifKRmU6WP,87,2017-06-23,204347,False,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949
22,Toxic,BoyWithUke,Toxic,4cmu24lnj0NI8lHG6vra6h,2gQPv5jvVPqU2a9HhMNO1v,65,2021-10-29,168020,False,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v,0.594,0.612,8,-6.627,0,0.363,0.835,0.0,0.461,0.687,179.629
23,In The End - Mellen Gi Remix,"Tommee Profitt, Fleurie, Mellen Gi",In The End,4ogDiddFmcxnT4PC9lVEoV,5rAUZy2eDdegBxUVYxePK2,68,2019-03-22,218189,False,https://open.spotify.com/track/5rAUZy2eDdegBxUVYxePK2,0.618,0.611,7,-6.654,0,0.11,0.477,0.0333,0.162,0.224,88.07
24,Stereo Hearts (feat. Adam Levine),"Gym Class Heroes, Adam Levine",The Papercut Chronicles II,2mumCpGmuE9iDeOvMx6XrB,0qOnSQQF0yzuPWsXrQ9paz,80,2011-11-11,210960,False,https://open.spotify.com/track/0qOnSQQF0yzuPWsXrQ9paz,0.646,0.795,9,-3.293,1,0.0976,0.0319,0.0,0.267,0.796,89.99
25,Invisible,"Julius Dreisig, Zeus X Crona",Invisible,1aFmxF4v2F31uUWcySqV0Y,2BgagqJWYfrKPhz3f5V0Sw,0,2018-10-26,201016,False,https://open.spotify.com/track/2BgagqJWYfrKPhz3f5V0Sw,0.693,0.834,2,-3.259,1,0.342,0.141,0.0391,0.0891,0.224,82.517
26,Mask Off - Marshmello Remix,"Future, Marshmello",Mask Off (Marshmello Remix),5kDL875bDZtpRKtl51ED3X,5rK0pyEObO4DBFLy682QvR,59,2017-06-16,179200,True,https://open.spotify.com/track/5rK0pyEObO4DBFLy682QvR,0.731,0.725,2,-5.21,1,0.249,0.00432,0.0,0.0556,0.351,149.963
27,Astronaut In The Ocean,Masked Wolf,Astronaut In The Ocean (International Remixes),4YtSVQwETLHiKNZXySp7Mw,0BGwAKW4u8kWOhWFflZxfl,54,2019-01-01,132780,True,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl,0.778,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,0.472,149.996
28,Mood (feat. iann dior),"24kGoldn, iann dior",El Dorado,270o30h7cAlEhBnbuSpFZq,4jPy3l0RUwlUI9T5XHBW2m,81,2021-03-26,140533,True,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m,0.701,0.716,7,-3.671,0,0.0361,0.174,0.0,0.324,0.732,91.007
29,lovely (with Khalid),"Billie Eilish, Khalid",lovely (with Khalid),2sBB17RXTamvj7Ncps15AK,0u2P5u6lvoDfwTYjAADbn4,87,2018-04-19,200186,False,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284
30,Fairytale,Alexander Rybak,Fairytale,6EWWmTEOXI58PL13vNk67S,3MnAsEBBsEj86d03RgO4EM,70,2009-01-12,182600,False,https://open.spotify.com/track/3MnAsEBBsEj86d03RgO4EM,0.573,0.784,2,-5.359,0,0.0293,0.61,3.89e-05,0.278,0.655,107.991
31,MIDDLE OF THE NIGHT,Elley Duhé,MIDDLE OF THE NIGHT,4hYYpUC8Ewb74tP23Y1lmM,58HvfVOeJY7lUuCqF0m3ly,76,2020-01-10,184448,False,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly,0.41,0.611,4,-8.271,0,0.0467,0.0228,0.0,0.116,0.0899,185.727
32,Heroes Tonight,"Janji, Johnning",Heroes Tonight,5EIy7f9l8YEqEkGuLLjd9A,3SipFlNddvL0XNZRLXvdZD,0,2015-06-09,208140,False,https://open.spotify.com/track/3SipFlNddvL0XNZRLXvdZD,0.537,0.786,8,-4.331,1,0.0317,0.075,0.0,0.253,0.178,127.994
33,Baby,"Justin Bieber, Ludacris",My World 2.0,3BmcYMh0KYsimWL6p2gPa9,6epn3r7S14KUqlReYr77hA,82,2010-01-01,214240,False,https://open.spotify.com/track/6epn3r7S14KUqlReYr77hA,0.728,0.859,5,-5.237,0,0.137,0.0401,0.0,0.111,0.535,65.043
34,Worth It (feat. Kid Ink),"Fifth Harmony, Kid Ink",Reflection (Deluxe),0zAsh6hObeNmFgFPrUiFcP,41Fflg7qHiVOD6dEPvsCzO,72,2015-01-30,224573,False,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO,0.884,0.765,8,-3.865,1,0.0882,0.063,7.04e-06,0.118,0.594,99.987
35,BILLIE EILISH.,Armani White,BILLIE EILISH.,4MajX5vPeY4cX5pv6rf0sA,27ZZdyTSQWI7Cug2d2PkqV,67,2022-05-19,99283,True,https://open.spotify.com/track/27ZZdyTSQWI7Cug2d2PkqV,0.9,0.509,1,-6.647,1,0.257,0.115,1.67e-06,0.0937,0.765,100.007
36,FED UP.,Fnatylqrd,GHOSTEMANE,2ldrfeskfP6ncNJWhJLUJt,5ftTXLHs1MNbO3wXNdpJDN,0,2022-04-12,151607,True,https://open.spotify.com/track/5ftTXLHs1MNbO3wXNdpJDN,0.813,0.573,10,-8.423,1,0.326,0.659,0.779,0.138,0.262,95.053
37,Killers From The Northside,Kordhell,Killers From The Northside,2Xr1Jk0wF7VN91OPbPHWBX,7jT3LcNj4XPYOlbNkPWNhU,58,2021-09-30,187500,True,https://open.spotify.com/track/7jT3LcNj4XPYOlbNkPWNhU,0.711,0.917,6,-3.324,0,0.0649,0.000856,0.685,0.104,0.255,95.98
38,One Dancing,BerthCh,One Dancing,5R8bhO2GDrZch4otjDd1P8,6rn4OJftRbziqPmTQoW1LW,0,2016-01-01,238032,False,https://open.spotify.com/track/6rn4OJftRbziqPmTQoW1LW,0.754,0.696,10,-8.331,0,0.264,0.000967,0.882,0.494,0.352,92.905
39,Dandelions,Ruth B.,Safe Haven,6FgtuX3PtiB5civjHYhc52,2eAvDnpXP5W0cVtiI0PUxV,86,2017-05-05,233720,False,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV,0.609,0.692,1,-2.958,1,0.0259,0.0157,0.0,0.0864,0.454,116.959
40,Rockstar,"Ilkay Sencan, Dynoro",Rockstar,1US66auJ538TiXGeUf24yL,4OgwXdylh75fHfwUzJTUqg,66,2019-06-21,212280,False,https://open.spotify.com/track/4OgwXdylh75fHfwUzJTUqg,0.771,0.826,11,-3.978,1,0.0604,0.142,0.03,0.145,0.185,100.012
41,Such a Whore,JVLA,Such a Whore,1mx6xCEENwktfQSj9YNcum,4lhUziuDKvQJu7ZW9cLmIv,58,2020-06-22,124687,True,https://open.spotify.com/track/4lhUziuDKvQJu7ZW9cLmIv,0.702,0.872,5,-4.2,1,0.0323,0.00225,0.00865,0.104,0.325,100.052
42,Cradles,Sub Urban,Cradles,1WTTu8JvpNLQShwwO8o4L9,18A7ha5BitZjmdHTCwXFbU,1,2019-01-04,209829,False,https://open.spotify.com/track/18A7ha5BitZjmdHTCwXFbU,0.581,0.585,1,-1.87,1,0.369,0.27,6.48e-05,0.179,0.63,67.443
